id,name_english,name_spanish,website,languages_spoken_english,languages_spoken_spanish,customers_served_english,customers_served_spanish,notes_english,notes_spanish,categories_english,categories_spanish,tags_english,tags_spanish
977,Elements Counseling Group,Grupo de Consejeria de Elementos,http://www.elementscg.com/,English,ingles,,,Proud to to offer therapy<&&> psycho-education and support to individuals<&&> families and youth of the Central Coast. Elements believes fostering healthy behaviors and choices and offers support for those struggling with relationships<&&> substance abuse<&&> mental health disorders<&&> and personal crisis,Orgulloso de ofrecer terapia<&&> psicoeducacion y apoyo a individuos<&&> familias y jovenes de la Costa Central. Elements cree en fomentar conductas y elecciones saludables y ofrece apoyo para quienes luchan con las relaciones<&&> el abuso de sustancias<&&> los trastornos de salud mental y las crisis personales.,substance use,uso de sustancias,recovery<&&>youth mental health<&&>substance use<&&>drugs<&&>elements counseling group<&&>addiction<&&>alcohol<&&>outpatient counseling<&&>santa maria<&&>english<&&>group therapy<&&>301 s. miller street<&&>93454<&&>drug and alcohol counseling,recuperacion<&&>salud mental juvenil<&&>grupo de consejeria elementos<&&>301 s. Miller Street<&&>uso de sustancias<&&>adiccion<&&>consejeria ambulatoria<&&>terapia grupal<&&>santa maria<&&>consejeria por drogas y alcohol<&&>93454<&&>ingles<&&>alcohol<&&>drogas
979,Santa Maria Survivors,Supervivientes de Santa Maria,http://www.centralcoastna.org/,English,ingles,,,,,substance use,uso de sustancias,recovery<&&>substance use<&&>drugs<&&>addiction<&&>santa maria survivors<&&>narcotics anonymous<&&>1517 s. broadway<&&>santa maria<&&>english<&&>93454<&&>alcohol,supervivientes de santa maria<&&>recuperacion<&&>narcoticos anonimos<&&>uso de sustancias<&&>adiccion<&&>1517 s. Broadway<&&>santa maria<&&>93454<&&>ingles<&&>alcohol<&&>drogas
980,Sharing the Message,Compartiendo el mensaje,,English,ingles,,,,,substance use,uso de sustancias,recovery<&&>209 w. main street<&&>substance use<&&>drugs<&&>addiction<&&>narcotics anonymous<&&>sharing the message<&&>santa maria<&&>english<&&>93454<&&>alcohol,recuperacion<&&>narcoticos anonimos<&&>compartiendo el mensaje<&&>uso de sustancias<&&>adiccion<&&>209 w. calle principal<&&>santa maria<&&>93454<&&>ingles<&&>alcohol<&&>drogas
981,1600 Club,1600 Club,,English,ingles,123,123,123,123,substance use,uso de sustancias,substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>1600 club<&&>93458<&&>324 w. cypress st<&&>santa maria<&&>english<&&>recovery<&&>alcohol,recuperacion<&&>alcoholicos anonimos<&&>uso de sustancias<&&>adiccion<&&>1600 club<&&>93458<&&>324 w. cypress st<&&>santa maria<&&>ingles<&&>alcohol<&&>drogas
982,Golden Group,Grupo dorado,,English,ingles,,,,,substance use,uso de sustancias,recovery<&&>209 w. main street<&&>substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>alcohol<&&>santa maria<&&>english<&&>93454<&&>golden group,ingles<&&>recuperacion<&&>alcoholicos anonimos<&&>uso de sustancias<&&>adiccion<&&>grupo dorado<&&>209 w. calle principal<&&>santa maria<&&>93454<&&>alcohol<&&>drogas
983,Grupo Sobriedad,Grupo Sobriedad,,Spanish,Espanol,,,,,substance use,uso de sustancias,recovery<&&>substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>alcohol<&&>grupo sobriedad<&&>santa maria<&&>209 w. main street<&&>93454<&&>spanish,recuperacion<&&>alcoholicos anonimos<&&>espanol<&&>uso de sustancias<&&>grupo sobriedad<&&>adiccion<&&>209 w. calle principal<&&>santa maria<&&>93454<&&>alcohol<&&>drogas
984,Grupe Santa Maria,Grupo Santa Maria,,Spanish,Espanol,,,,,substance use,uso de sustancias,recovery<&&>substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>alcohol<&&>grupe santa maria<&&>santa maria<&&>408 n. mcclelland street<&&>93454<&&>spanish,recuperacion<&&>espanol<&&>uso de sustancias<&&>alcoholicos anonimos<&&>grupe santa maria<&&>adiccion<&&>santa maria<&&>408 n. mcclelland street<&&>93454<&&>alcohol<&&>drogas
985,Vive Y Deja Vivir,Vive Y Deja Vivir,,Spanish,Espanol,,,,,substance use,uso de sustancias,recovery<&&>substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>alcohol<&&>santa maria<&&>vive y deja vivir<&&>93454<&&>1027 w. main street<&&>spanish,recuperacion<&&>espanol<&&>alcoholicos anonimos<&&>uso de sustancias<&&>adiccion<&&>1027 w. calle principal<&&>santa maria<&&>vive y deja vivir<&&>93454<&&>alcohol<&&>drogas
987,Grupo Guadalupe,Grupo Guadalupe,,Spanish,Espanol,,,,,substance use,uso de sustancias,1015 guadalupe street<&&>recovery<&&>substance use<&&>alcoholics anonymous<&&>guadalupe<&&>drugs<&&>alcohol<&&>addiction<&&>grupo guadalupe<&&>93434<&&>spanish,1015 calle guadalupe<&&>recuperacion<&&>alcoholicos anonimos<&&>guadalupe<&&>espanol<&&>uso de sustancias<&&>adiccion<&&>grupo guadalupe<&&>93434<&&>alcohol<&&>drogas
988,Goes to Any Length,Va a cualquier longitud,,English,ingles,,,,,substance use,uso de sustancias,substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>goes to any length<&&>orcutt<&&>english<&&>recovery<&&>93455<&&>alcohol<&&>993 patterson road,recuperacion<&&>alcoholicos anonimos<&&>uso de sustancias<&&>adiccion<&&>orcutt<&&>93455<&&>va a cualquier extension<&&>ingles<&&>alcohol<&&>drogas<&&>993 patterson road
989,Lion's Den,La guarida del leon,,English,ingles,,,,,substance use,uso de sustancias,substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>orcutt<&&>93455<&&>english<&&>126 s. broadway<&&>recovery<&&>lions den<&&>alcohol,recuperacion<&&>alcoholicos anonimos<&&>uso de sustancias<&&>adiccion<&&>orcutt<&&>126 s. Broadway<&&>drogas<&&>93455<&&>lions den<&&>alcohol<&&>ingles
990,New Beginnings,Nuevos comienzos,http://www.newbeginnings.online/,English,ingles,,,New Beginnings provides a safe place to park a vehicle and sleep overnight legally. Must have a current  drivers license<&&> registration<&&> and insurance.,New Beginnings proporciona un lugar seguro para estacionar un vehiculo y dormir legalmente durante la noche. Debe tener licencia de conducir<&&> registro y seguro vigentes.,substance use<&&>community support<&&>transportation,uso de sustancias<&&>apoyo comunitario<&&>transporte,transit<&&>community<&&>english<&&>new beginnings<&&>people<&&>support<&&>neigborhood<&&>safe parking<&&>93101<&&>substance use<&&>alcoholics anonymous<&&>drugs<&&>324 e. carrillo street<&&>addiction<&&>transportation<&&>santa maria<&&>recovery<&&>93454<&&>1265 w. mccoy road<&&>community support<&&>santa barbara<&&>transport<&&>alcohol,ingles<&&>recuperacion<&&>estacionamiento seguro<&&>gente<&&>324 e. calle carrillo<&&>comunidad<&&>alcoholicos anonimos<&&>apoyo comunitario<&&>vecindario<&&>93101<&&>1265 w. mccoy road<&&>transporte<&&>transito<&&>santa maria<&&>93454<&&>nuevos comienzos<&&>uso de sustancias<&&>adiccion<&&>santa barbara<&&>apoyo<&&>alcohol<&&>drogas
991,Design for Living,Diseno para vivir,,English,ingles,,,,,substance use,uso de sustancias,1822 baylor lane<&&>recovery<&&>substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>santa maria<&&>english<&&>93454<&&>design for living<&&>alcohol,1822 baylor lane<&&>recuperacion<&&>alcoholicos anonimos<&&>uso de sustancias<&&>adiccion<&&>ingleses<&&>santa maria<&&>93454<&&>diseno para vivir<&&>alcohol<&&>drogas
997,Veteran's Memorial Building,Edificio conmemorativo de veteranos,http://www.countyofsb.org/parks/sbvets.sbc,English,ingles,,,,,substance use,uso de sustancias,112 w. cabrillo boulevard<&&>93101<&&>substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>veterans memorial building<&&>english<&&>santa barbara<&&>recovery<&&>alcohol,Veterans Memorial Building<&&>93101<&&>recuperacion<&&>alcoholicos anonimos<&&>uso de sustancias<&&>adiccion<&&>112 w. bulevar cabrillo<&&>santa barbara<&&>ingles<&&>alcohol<&&>drogas
998,Eye Opener,Abridor de ojos,,English,ingles,,,,,substance use,uso de sustancias,substance use<&&>alcoholics anonymous<&&>eye opener<&&>drugs<&&>addiction<&&>english<&&>santa barbara<&&>recovery<&&>alcohol<&&>5444 hollister avenue<&&>93111,recuperacion<&&>alcoholicos anonimos<&&>uso de sustancias<&&>abridor de ojos<&&>adiccion<&&>drogas<&&>santa barbara<&&>ingles<&&>alcohol<&&>5444 hollister avenue<&&>93111
999,Grateful Group,Grupo agradecido,,English,ingles,,,,,substance use,uso de sustancias,recovery<&&>substance use<&&>alcoholics anonymous<&&>drugs<&&>addiction<&&>4575 auhay drive<&&>goleta<&&>93110<&&>english<&&>grateful group<&&>alcohol,recuperacion<&&>grupo agradecido<&&>alcoholicos anonimos<&&>adiccion<&&>4575 auhay drive<&&>goleta<&&>consumo de sustancias<&&>93110<&&>ingles<&&>alcohol<&&>drogas
1001,New Attitudes,Nuevas actitudes,,English,ingles,,,,,substance use,uso de sustancias,recovery<&&>substance use<&&>drugs<&&>addiction<&&>narcotics anonymous<&&>lompoc<&&>english<&&>new attitudes<&&>129 n. i street ste. e<&&>93436<&&>alcohol,nuevas actitudes<&&>narcoticos anonimos<&&>129 n. yo calle ste. e<&&>recuperacion<&&>uso de sustancias<&&>adiccion<&&>lompoc<&&>93436<&&>ingles<&&>alcohol<&&>drogas
1004,Spanish Group,Grupo espanol,,Spanish,Espanol,,,,,substance use,uso de sustancias,substance use<&&>alcoholics anonymous<&&>spanish<&&>drugs<&&>alcohol<&&>addiction<&&>lompoc<&&>118 n. a street<&&>recovery<&&>93436<&&>spanish group,recuperacion<&&>alcoholicos anonimos<&&>espanol<&&>118 n. una calle<&&>uso de sustancias<&&>adiccion<&&>lompoc<&&>grupo espanol<&&>93436<&&>alcohol<&&>drogas
1005,Crystal Meth Anonymous,Crystal Meth Anonimo,https://www.crystalmeth.org/,English,ingles,,,COVID-19 Update: Helpline still available.   Provides a 24-hour helpline that offers information and support to individuals seeking recovery from crystal meth addiction. This is not a medical or crisis line.,Actualizacion de COVID-19: Linea de ayuda aun disponible. Proporciona una linea de ayuda las 24 horas que ofrece informacion y apoyo a las personas que buscan recuperarse de la adiccion a la metanfetamina. Esta no es una linea medica o de crisis.,substance use,uso de sustancias,90027<&&>4470 west sunset boulevard<&&>substance use<&&>drugs<&&>addiction<&&>los angeles<&&>crystal meth anonymous<&&>english<&&>recovery<&&>alcohol,90027<&&>recuperacion<&&>4470 west sunset boulevard<&&>uso de sustancias<&&>los angeles<&&>adiccion<&&>crystal meth anonimo<&&>ingles<&&>alcohol<&&>drogas
1006,Conflict Solutions Center of Santa Barbara County,Centro de soluciones de conflictos del condado de Santa Barbara,http://www.cscsb.org/,English,ingles,,,We are committed to the development of community-based<&&> non-adversarial responses to conflict and differences that strengthen social harmony and support individual healing,Estamos comprometidos con el desarrollo de respuestas comunitarias y no adversas a los conflictos y las diferencias que fortalezcan la armonia social y apoyen la curacion individual.,community support,soporte comunitario,93101<&&>people<&&>support<&&>neigborhood<&&>anger management<&&>community<&&>120 east jones street<&&>1530 chapala street<&&>conflict solutions center of santa barbara county<&&>community support<&&>english<&&>santa barbara<&&>santa maria<&&>93454,93101<&&>manejo de la ira<&&>comunidad<&&>centro de soluciones de conflicto del condado de santa barbara<&&>vecindario<&&>120 east jones street<&&>apoyo comunitario<&&>santa maria<&&>santa barbara<&&>apoyo<&&>93454<&&>ingles<&&>gente<&&>1530 chapala street
1007,What is Love,Que es el amor,https://whatisloveteens.org/,English,ingles,,,,,substance use,uso de sustancias,drugs<&&>substance use<&&>addiction<&&>english<&&>what is love<&&>recovery<&&>alcohol,ingles<&&>recuperacion<&&>uso de sustancias<&&>que es amor<&&>adiccion<&&>alcohol<&&>drogas
1008,A Different Point of View,Un punto de vista distinto,https://www.adifferentpointofview.org/,English,ingles,Youth<&&> Students,Juventud<&&> Estudiantes,Through our programs<&&> youth come away with a new understanding that they are the captains of their ships and the variety of options the aviation world has to offer. They gain self-confidence<&&> self-advocacy and the belief that they can succeed in the world. Our purpose is to give them the tools to live a full and meaningful life.  A student walks in to a supportive community and walks out with tools to navigate their decision making skills. They truly learn that the sky is NOT the limit!,A traves de nuestros programas<&&> los jovenes adquieren un nuevo entendimiento de que son los capitanes de sus barcos y de la variedad de opciones que ofrece el mundo de la aviacion. Adquieren confianza en si mismos<&&> autodefensa y la creencia de que pueden triunfar en el mundo. Nuestro proposito es brindarles las herramientas para vivir una vida plena y significativa. Un estudiante ingresa a una comunidad de apoyo y sale con herramientas para navegar sus habilidades de toma de decisiones. !Realmente aprenden que el cielo NO es el limite!,community support,soporte comunitario,93160<&&>people<&&>support<&&>neigborhood<&&>community<&&>a different point of view<&&>youth service<&&>p.o. box 6562<&&>community support<&&>english<&&>santa barbara<&&>mentorship<&&>youth<&&>students,juventud<&&>93160<&&>servicio juvenil<&&>comunidad<&&>un punto de vista diferente<&&>po box 6562<&&>apoyo comunitario<&&>apoyo<&&>tutoria<&&>santa barbara<&&>estudiantes<&&>vecindario<&&>ingles<&&>gente
1009,Peace Lutheran Church,Iglesia Luterana de la Paz,https://www.peacelompoc.org/,English,ingles,,,Doors open at 6:00 p.m. and remain open until 6:00  a.m. the following morning.  Operating Times: November 15 through March 31  Open when:  1. Temperatures are below 35 degrees  2. There is a 40% chance of rain<&&> or  3. It has been raining for 2 days and less than 40 degrees.  Hot meals served.  Sack lunch provided.  Personal toiletries available.  Jacket and socks available. ,Las puertas se abren a las 6:00 pm y permanecen abiertas hasta las 6:00 am de la manana siguiente. Horas de funcionamiento: del 15 de noviembre al 31 de marzo. Abierto cuando: 1. Las temperaturas estan por debajo de los 35 grados 2. Hay un 40% de probabilidad de lluvia<&&> o 3. Ha estado lloviendo durante 2 dias y menos de 40 grados. Se sirven comidas calientes. Se proporciona almuerzo en bolsa. Articulos de tocador personales disponibles. Chaqueta y calcetines disponibles.,housing,alojamiento,homes<&&>1000 w. ocean avenue<&&>apartments<&&>peace lutheran church<&&>shelter<&&>lompoc<&&>english<&&>rent<&&>93436<&&>housing,iglesia luterana de paz<&&>apartamentos<&&>refugio<&&>vivienda<&&>1000 w. avenida oceanica<&&>lompoc<&&>93436<&&>alquiler<&&>casas<&&>ingles
1010,Domestic Violence Solutions,Soluciones para la violencia domestica,https://dvsolutions.org/,English<&&> Spanish,Ingles Espanol,,,Three confidential emergency shelters for victims of domestic violence and their children. Can stay for up to  45 days. Counseling and support groups available. ,Tres refugios de emergencia confidenciales para victimas de violencia domestica y sus hijos. Puede quedarse hasta 45 dias. Grupos de apoyo y consejeria disponibles.,housing,alojamiento,housing<&&>93101<&&>homes<&&>domestic violence shelter<&&>apartments<&&>shelter<&&>411 e. canon perdido st<&&>domestic violence solutions<&&>english<&&>santa barbara<&&>rent<&&>spanish,apartamentos<&&>93101<&&>albergue<&&>albergue de violencia domestica<&&>espanol<&&>411 e. calle canon perdido<&&>refugio<&&>soluciones de violencia domestica<&&>vivienda<&&>alquiler<&&>santa barbara<&&>casas<&&>ingles
1011,Housing Authority of the County of Santa Barbara,Autoridad de Vivienda del Condado de Santa Barbara,https://hasbarco.org/,English,ingles,,,The Housing Authority of the County of Santa Barbara (HACSB) continues in its efforts to protect the Health and Safety of its residents<&&> participants of the Housing Choice Voucher program (Section 8)  residents of Housing Authority owned properties and employees. We continue to have our offices closed to the public until further notice and encourage you to communicate with us electronically. You can reach us via our WEBSITE<&&> E-mail<&&> or by telephone at 805-735-8351. If you need to e mail us a question<&&> you can reach us at this e mail address:  Questions@hasbarco.org,La Autoridad de Vivienda del Condado de Santa Barbara (HACSB) continua en sus esfuerzos por proteger la salud y seguridad de sus residentes<&&> participantes del programa de Vales de Eleccion de Vivienda (Seccion 8) residentes de propiedades y empleados de la Autoridad de Vivienda. Seguimos teniendo nuestras oficinas cerradas al publico hasta nuevo aviso y lo alentamos a que se comunique con nosotros electronicamente. Puede comunicarse con nosotros a traves de nuestro SITIO WEB<&&> correo electronico o por telefono al 805-735-8351. Si necesita enviarnos una pregunta por correo electronico<&&> puede comunicarse con nosotros a esta direccion de correo electronico: Questions@hasbarco.org,housing<&&>community support<&&>food,vivienda<&&>apoyo comunitario<&&>alimentacion,1020 escalante street<&&>hunger<&&>nutrition<&&>mobile food pantry<&&>community<&&>apartments<&&>shelter<&&>goleta<&&>english<&&>93117<&&>5575 armitos avenue<&&>hungry<&&>200 w. williams street<&&>people<&&>guadalupe<&&>support<&&>neigborhood<&&>rent<&&>93436<&&>snacks<&&>homes<&&>affordable housing<&&>lompoc<&&>santa maria<&&>snack<&&>93434<&&>93454<&&>meals<&&>financial assistance<&&>food<&&>housing authority of the county of santa barbara<&&>community support<&&>santa barbara<&&>eat<&&>815 w. ocean avenue<&&>housing,ingles<&&>1020 escalante street<&&>despensa movil de alimentos<&&>nutricion<&&>autoridad de vivienda del condado de santa barbara<&&>goleta<&&>alquiler<&&>93117<&&>casas<&&>gente<&&>5575 armitos avenue<&&>asistencia financiera<&&>200 w. williams street<&&>comunidad<&&>guadalupe<&&>apoyo comunitario<&&>815 w. avenida del mar<&&>vivienda<&&>vivienda asequible<&&>vecindario<&&>93436<&&>apartamentos<&&>hambre<&&>lompoc<&&>santa maria<&&>93434<&&>93454<&&>comidas<&&>bocadillo<&&>comer<&&>refugio<&&>santa barbara<&&>apoyo<&&>comida<&&>bocadillos
1012,People's Self-Helping,Autoayuda de las personas,https://www.pshhc.org/,English,ingles,,,To submit an application<&&> go online and fill out the application and contact the property directly. ,Para enviar una solicitud<&&> ingrese en linea<&&> complete la solicitud y comuniquese directamente con la propiedad.,housing,alojamiento,homes<&&>apartments<&&>shelter<&&>affordable housing<&&>lompoc<&&>peoples self-helping<&&>english<&&>648 n. g streeet<&&>rent<&&>93436<&&>housing,apartamentos<&&>refugio<&&>648 n. g streeet<&&>vivienda<&&>alquiler<&&>lompoc<&&>vivienda asequible<&&>autoayuda de las personas<&&>93436<&&>casas<&&>ingles
1013,Santa Barbara Community Housing Corporation,Corporacion de Vivienda Comunitaria de Santa Barbara,http://www.chcsb.com/,English,ingles,,,Santa Barbara Community Housing Corporation (SBCHC) is a non-profit organization dedicated to providing safe and affordable housing<&&> including special needs housing for under-served individuals in our region. In addition to providing stable housing<&&> it is our goal to enhance each tenant’s self-respect<&&> personal motivation and future independence.,La Corporacion de Vivienda Comunitaria de Santa Barbara (SBCHC) es una organizacion sin fines de lucro dedicada a brindar viviendas seguras y asequibles<&&> incluidas viviendas para necesidades especiales para personas desatendidas en nuestra region. Ademas de proporcionar una vivienda estable<&&> nuestro objetivo es mejorar el respeto propio<&&> la motivacion personal y la independencia futura de cada inquilino.,housing,alojamiento,santa barbara community housing corporation<&&>514 e sola st<&&>4667 carpinteria avenue<&&>627 coronel pl<&&>apartments<&&>shelter<&&>goleta<&&>english<&&>93117<&&>625 coronel pl<&&>65 nectarine ave<&&>93427<&&>729 n. e street<&&>614 central ave<&&>821 bath st<&&>520 w sola st<&&>2483 state st<&&>93436<&&>rent<&&>93103<&&>93101<&&>11 east haley street<&&>homes<&&>500 n. t street<&&>733 n. e street<&&>buellton<&&>47 broadmoor plaza<&&>affordable housing<&&>lompoc<&&>59 nectarine ave<&&>125 w carillo st<&&>93105<&&>725 n. e street<&&>580 central ave<&&>15 e haley st<&&>carpinteria<&&>504 n. t street<&&>933 san pascual st<&&>santa barbara<&&>1409 castillo st<&&>housing<&&>93013,514 e sola st<&&>4667 carpinteria avenue<&&>627 coronel pl<&&>goleta<&&>alquiler<&&>93117<&&>santa barbara<&&>casas<&&>625 coronel pl<&&>65 nectarine ave<&&>93427<&&>614 central ave<&&>821 bath st<&&>vivienda<&&>vivienda asequible<&&>520 w sola st<&&>2483 state st<&&>93436<&&>ingles<&&>500 n. t calle<&&>93103<&&>93101<&&>11 east haley street<&&>apartamentos<&&>733 n. e street<&&>buellton<&&>47 broadmoor plaza<&&>lompoc<&&>59 nectarine ave<&&>504 n. t calle<&&>corporacion de vivienda comunitaria de santa barbara<&&>125 w carillo st<&&>93105<&&>580 central ave<&&>refugio<&&>15 e haley st<&&>729 n. e calle<&&>carpinteria<&&>933 san pascual st<&&>725 n. e calle<&&>1409 castillo st<&&>93013
1014,Adult Mental Health Services,Servicios de salud mental para adultos,https://www.countyofsb.org/behavioral-wellness/adult-home.sbc,English,ingles,,,Part of the Santa Barbara County of Department of Behavioral Wellness. We serve adults who are Medi-Cal beneficiaries with severe mental illness and/or substance use disorders<&&> as well as individuals experiencing mental health crises. To obtain services<&&> call the 24/7 Access Line<&&> 1-888-868-1649.,Parte del Departamento de Bienestar Conductual del Condado de Santa Barbara. Servimos a adultos que son beneficiarios de Medi-Cal con enfermedades mentales graves y / o trastornos por uso de sustancias<&&> asi como a personas que atraviesan crisis de salud mental. Para obtener servicios<&&> llame a la Linea de acceso 24 horas al dia<&&> 7 dias a la semana<&&> 1-888-868-1649.,mental health,salud mental,illness<&&>support<&&>mental<&&>117 n. b street<&&>health<&&>4444 calle real<&&>outpatient counseling<&&>mental health<&&>adult mental health services<&&>lompoc<&&>93436<&&>english<&&>santa maria<&&>93110<&&>500 west foster road<&&>santa barbara<&&>93455,servicios de salud mental para adultos<&&>salud<&&>mental<&&>117 n. b street<&&>enfermedad<&&>4444 calle real<&&>apoyo<&&>consejeria ambulatoria<&&>lompoc<&&>93436<&&>93455<&&>santa maria<&&>93110<&&>500 west foster road<&&>santa barbara<&&>ingles<&&>salud mental
1015,New Goals Counseling,Consejeria de Nuevos Objetivos,,English<&&> Spanish,Ingles Espanol,,,,,mental health,salud mental,new goals counseling<&&>illness<&&>support<&&>1010 n. h street<&&>mental<&&>health<&&>outpatient counseling<&&>93458<&&>lompoc<&&>english<&&>santa maria<&&>mental health<&&>93436<&&>spanish<&&>124 w. carmen lane,consejeria nuevas metas<&&>espanol<&&>1010 n. calle h<&&>salud<&&>mental<&&>apoyo<&&>consejeria ambulatoria<&&>93458<&&>lompoc<&&>93436<&&>santa maria<&&>salud mental<&&>enfermedad<&&>ingles<&&>124 w. carmen lane
1016,Lompoc Recovery Learning Center,Centro de aprendizaje de recuperacion de Lompoc,,English<&&> Spanish,Ingles Espanol,,,,,mental health,salud mental,illness<&&>support<&&>lompoc recovery learning center<&&>513 n. g street<&&>mental<&&>health<&&>outpatient counseling<&&>lompoc<&&>english<&&>mental health<&&>93436<&&>spanish,espanol<&&>salud<&&>513 n. g street<&&>mental<&&>consejeria ambulatoria<&&>lompoc<&&>93436<&&>salud mental<&&>apoyo<&&>centro de aprendizaje de recuperacion lompoc<&&>enfermedad<&&>ingles
1017,Santa Ynez Tribal Clinic,Clinica Tribal Santa Ynez,https://sythc.org/,English,ingles,,,We not only offer services for Native Americans<&&> but provide sliding fees based on income<&&> low-income programs<&&> and accept Medicare<&&> Medi-Cal<&&> and most major insurance plans. We invite you to experience our friendly<&&> willing<&&> compassionate and nurturing service.,No solo ofrecemos servicios para nativos americanos<&&> sino que proporcionamos tarifas variables segun los ingresos<&&> los programas de bajos ingresos y aceptamos Medicare<&&> Medi-Cal y la mayoria de los planes de seguro mas importantes. Lo invitamos a experimentar nuestro servicio amistoso<&&> dispuesto<&&> compasivo y enriquecedor.,mental health,salud mental,santa ynez<&&>illness<&&>support<&&>mental<&&>health<&&>outpatient counseling<&&>mental health<&&>english<&&>93460<&&>90 via juana lane<&&>santa ynez tribal clinic,santa ynez<&&>salud<&&>mental<&&>consejeria ambulatoria<&&>salud mental<&&>90 via juana lane<&&>93460<&&>apoyo<&&>enfermedad<&&>ingles<&&>clinica tribal santa ynez
1018,Lompoc Valley Medical Center,Centro medico de Lompoc Valley,https://lompocvmc.com/locations/lvmc,English,ingles,,,,,mental health,salud mental,1515 e. ocean avenue<&&>illness<&&>support<&&>mental<&&>health<&&>outpatient counseling<&&>lompoc<&&>english<&&>mental health<&&>lompoc valley medical center<&&>93436,salud<&&>mental<&&>1515 e. avenida oceanica<&&>consejeria ambulatoria<&&>lompoc<&&>93436<&&>salud mental<&&>apoyo<&&>enfermedad<&&>lompoc valley medical center<&&>ingles
1019,Buellton Senior Center,Buellton Senior Center,https://buelltonseniorcenter.org/,English,ingles,,,Lunch,Almuerzo,food,comida,93427<&&>hungry<&&>hunger<&&>food<&&>lunch<&&>nutrition<&&>buellton<&&>buellton senior center<&&>164 w. highway 246<&&>english<&&>snack<&&>meals<&&>snacks<&&>eat,bocadillo<&&>93427<&&>nutricion<&&>comer<&&>bocadillos<&&>buellton<&&>buellton senior center<&&>almuerzo<&&>hambre<&&>comidas<&&>comida<&&>ingles<&&>164 w. carretera 246
1020,Bethany Lutheran Church,Iglesia Luterana Betania,https://www.bethanylompoc.org/home,English,ingles,,,Provide opportunities for people to grow in a living and loving relationship with Jesus Christ. Seek out opportunities for service and enable each other to embrace ministry opportunities.,Brinde oportunidades para que las personas crezcan en una relacion viva y amorosa con Jesucristo. Busquen oportunidades de servicio y capacitense mutuamente para aprovechar las oportunidades del ministerio.,food,comida,hungry<&&>hunger<&&>snacks<&&>bethany lutheran church<&&>food<&&>lunch<&&>nutrition<&&>135 s. e street<&&>lompoc<&&>english<&&>snack<&&>meals<&&>93436<&&>eat,nutricion<&&>comer<&&>betania iglesia luterana<&&>bocadillos<&&>almuerzo<&&>hambre<&&>lompoc<&&>93436<&&>comidas<&&>comida<&&>135 s. e calle<&&>bocadillo<&&>ingles
1021,Trinity Church,Iglesia de la Trinidad,https://www.trinaz.com/#!blank/c1z0x,English,ingles,,,Trinity Church is a dynamic place filled with people worshiping Jesus<&&> sharing life together<&&> and learning to serve one another and our community,Trinity Church es un lugar dinamico lleno de personas que adoran a Jesus<&&> comparten la vida juntos y aprenden a servirse unos a otros y a nuestra comunidad.,food,comida,hungry<&&>hunger<&&>snacks<&&>lunch<&&>500 e. north ave<&&>food<&&>nutrition<&&>dinner<&&>trinity church<&&>lompoc<&&>english<&&>snack<&&>meals<&&>93436<&&>eat,nutricion<&&>comer<&&>iglesia de la trinidad<&&>bocadillos<&&>almuerzo<&&>hambre<&&>lompoc<&&>93436<&&>500 e. avenida norte<&&>cena<&&>comidas<&&>comida<&&>ingles<&&>bocadillo
1022,Half Century Club,Club de medio siglo,https://www.facebook.com/Lompoc-Valley-of-Flowers-Half-Century-Club-115258075183168/,English,ingles,,,,,food,comida,314 n. n street<&&>hungry<&&>hunger<&&>snacks<&&>food<&&>nutrition<&&>dinner<&&>lompoc<&&>half century club<&&>english<&&>snack<&&>meals<&&>93436<&&>eat,nutricion<&&>comer<&&>club de medio siglo<&&>bocadillos<&&>hambre<&&>lompoc<&&>93436<&&>314 n. n calle<&&>cena<&&>comidas<&&>comida<&&>ingles<&&>bocadillo
1023,St. Timothy Church,Iglesia de San Timoteo,http://www.sttimothy.net/,English,ingles,,,St Timothy Orthodox Christian Church is part of the Antiochian Orthodox Archdiocese of America<&&> under the guidance of Metropolitan Joseph of New York and All America,La Iglesia Cristiana Ortodoxa de San Timoteo es parte de la Arquidiocesis Ortodoxa de Antioquia de America<&&> bajo la direccion del Metropolitano Joseph de Nueva York y toda America.,food,comida,hungry<&&>hunger<&&>snacks<&&>food<&&>nutrition<&&>dinner<&&>st. timothy church<&&>403 n. j street<&&>lompoc<&&>english<&&>snack<&&>meals<&&>93436<&&>eat,nutricion<&&>comer<&&>403 n. j calle<&&>S t. iglesia timothy<&&>bocadillos<&&>hambre<&&>lompoc<&&>93436<&&>cena<&&>comidas<&&>comida<&&>ingles<&&>bocadillo
